gene	logFC	pval	adj_pval
CYP2J2	-1.31619851513529	2.12589968534591e-17	1.90120738777552e-16
CYP2S1	-1.00859804945506	1.21825146004674e-10	4.7375813434606e-10
CYP39A1	-2.82794547139235	1.18546356104611e-23	2.62504510884838e-22
CYP3A4	-2.4402685448622	3.73380889631103e-17	3.22152257727312e-16
CYP3A43	-1.73670459688813	1.03869840083157e-12	5.09317013269944e-12
CYP4A11	-1.64324717965778	1.93622369127618e-16	1.52950649464568e-15
CYP4A22	-2.5495917418208	9.80605512239185e-23	1.86831155489782e-21
CYP4F2	-1.45057899818819	3.67641588043237e-12	1.69302204759291e-11
CYP4V2	-1.18852132997877	3.42931058383988e-21	5.29729868665135e-20
CYP4X1	-1.37838536548705	2.80385875886636e-15	1.90182713045387e-14
CYP7A1	1.63207699317003	7.7028402599997e-07	1.94139088859566e-06
CYP7B1	-1.30659181262982	4.05655074576949e-13	2.08551043589236e-12
CYP8B1	-1.66698152224302	3.74181384343577e-10	1.37243797623111e-09
CYR61	-1.68330781791939	1.65977204434581e-23	3.58011969979876e-22
DACH1	-2.05799700095897	1.55224098530453e-39	3.15218498625501e-37
DACT1	-1.60814676644096	1.02136863637605e-17	9.57109202753742e-17
DACT3	-1.1264799229299	2.10120767852526e-13	1.11965792840968e-12
DBC1	-1.34349713469933	3.22278808965408e-20	4.28641112371564e-19
DBF4	1.06499419366067	4.62699135971827e-28	1.91187742238284e-26
DBF4B	1.15478978821005	6.27054580303515e-27	2.17989830296746e-25
DBH	-3.52785673151834	5.67680340546399e-55	1.05033478119763e-51
DBNDD1	1.30044473185696	1.46265436320254e-13	7.90526467252472e-13
DCDC5	-1.46687609828118	2.54564582972873e-13	1.34145868217224e-12
DCN	-2.91244261609488	4.07179405816226e-22	7.16739055565729e-21
DDEFL1	1.01779219196937	1.07215556487762e-19	1.31760401965624e-18
DEFA3	-2.93928304339799	6.16091724127344e-24	1.41505646760945e-22
DEFB1	-1.46162268574758	9.67989264100638e-09	3.01796615349257e-08
DEPDC1B	2.43878350766116	1.0691961411533e-26	3.60410002884307e-25
DEPDC7	-1.23353005741948	8.62328918664406e-19	9.39143306317835e-18
DHODH	-1.59819399883833	5.88172574283515e-19	6.56011366843208e-18
DIAPH3	1.0795258331975	2.24737614157759e-30	1.29492413527855e-28
DIO2	1.60943952500335	1.8785332190666e-13	1.005184291899e-12
DIRAS3	-2.87188290778562	9.19485907124302e-24	2.06351473388597e-22
DKK1	1.85183562751778	1.00640182489746e-10	3.95436601892227e-10
DLG5	1.05589562643892	3.05275278984114e-22	5.47784907935718e-21
DLG7	3.30084456043656	3.264630840479e-42	8.4941613680713e-40
DLX2	1.00567437865432	2.02893628722276e-07	5.45989771409719e-07
DLX6	1.1068070306821	4.31346212924604e-06	9.94706707882636e-06
DMGDH	-1.36933582844891	1.45232658827706e-17	1.32879903010932e-16
DMRTA1	-1.17577317360163	1.37368543578985e-10	5.31349822921548e-10
DNAJC12	-1.7389921841945	2.01820333587485e-15	1.39506525317509e-14
DNAJC6	1.80784518502805	1.11197521139464e-18	1.19616351551315e-17
DNALI1	-1.35926551801314	3.55052163388938e-16	2.70216116304963e-15
DNASE1L3	-3.20054436146559	4.51902921970594e-34	4.32476290612318e-32
DNMT3B	1.85862003485132	7.5988086887751e-30	4.04266333180457e-28
DNMT3L	-1.02051542506778	2.03330954281054e-08	6.12161824387653e-08
DOCK3	1.0296843345109	1.40116032064104e-14	8.71902902067064e-14
DPEP2	-1.05093835166553	1.34969478694385e-17	1.24034865299057e-16
DPF3	-1.49882283323198	5.04125202660498e-22	8.76272742662069e-21
DPPA4	-1.13839625847787	4.76075503810166e-12	2.16897654978027e-11
DPT	-3.9711349127272	2.18670242538112e-32	1.64022381925434e-30
DSCR8	2.338018681699	1.05968993939272e-10	4.15003689340724e-10
DSE	-1.51075822730992	1.20967583530946e-31	8.22184571819311e-30
DSEL	-1.6080239628277	1.68621955273912e-15	1.17879630529856e-14
DSG1	-1.35522994726392	1.65065912592864e-08	5.01583499360651e-08
DSN1	1.07247351519627	1.86441335470006e-21	2.99963393067298e-20
DTL	2.78412253433845	1.11742027899222e-36	1.46514035321091e-34
DTNA	1.58381205147293	1.82572304643092e-12	8.70866232287818e-12
DTX1	-1.66084840629683	1.13352015180743e-14	7.12816373410019e-14
DUOX1	1.03802996478155	3.22691889089255e-10	1.19224879900472e-09
DUSP2	-1.5205122813277	5.38048310579107e-20	6.94541121532039e-19
DUSP5	-1.48410914883524	4.22922991895546e-22	7.42881187873907e-21
DUSP9	2.57509498272274	1.48876527424922e-21	2.41626894218304e-20
DUXAP10	2.15693454407145	5.303908068093e-25	1.40414431080898e-23
DYDC2	1.79426425122544	5.4724686156475e-15	3.58769871605363e-14
DYNC1I1	1.24695435377275	1.69340016368135e-08	5.14195833800543e-08
E2F1	1.91715347510833	5.65252211014629e-30	3.0363160702631e-28
E2F2	1.97726357375932	7.25543819902513e-32	5.0340648704236e-30
E2F7	2.21150501812405	2.51370319075271e-32	1.86036380144063e-30
E2F8	2.79846464139608	4.36341381033199e-38	6.85467611034418e-36
EBF1	1.28287598540098	2.01868770649402e-17	1.81018781306077e-16
EBI2	-1.07490147988874	9.59320489182166e-10	3.36095198524331e-09
